Module Name,# Local Dff Bits,# Chains In,# Chains Out,Discrete DFFs,,,LCL,EB,DL,CL,NS,0,0,,1,1,,2,2,,3,3,,4,4,,5,5,
sparc_tlu_intdp,151,0,1,1,,,151,0,150,0,FALSE,150,0,,301,151,,452,302,,603,453,,754,604,,905,755,
sparc_ifu_rndrob,4,0,1,1,,,4,0,3,0,FALSE,3,0,,7,4,,11,8,,15,12,,19,16,,23,20,
sparc_tlu_intctl,27,1,1,1,,,27,0,26,0,FALSE,26,0,,53,27,,80,54,,107,81,,134,108,,161,135,
bw_r_rf32x80,102,0,1,1,,,102,0,101,0,FALSE,101,0,,203,102,,305,204,,407,306,,509,408,,611,510,
tlu_hyperv,103,0,1,1,,,103,0,102,0,FALSE,102,0,,205,103,,308,206,,411,309,,514,412,,617,515,
tlu_misctl,350,0,1,1,,,350,0,349,0,FALSE,349,0,,699,350,,1049,700,,1399,1050,,1749,1400,,2099,1750,
tlu_mmu_ctl,270,0,1,1,,,270,0,269,0,FALSE,269,0,,539,270,,809,540,,1079,810,,1349,1080,,1619,1350,
tlu_mmu_dp,912,0,2,1,,,456,0,911,0,FALSE,455,0,,911,456,,1367,912,,1823,1368,,2279,1824,,2735,2280,
tlu_pib,53,0,1,1,,,53,0,52,0,FALSE,52,0,,105,53,,158,106,,211,159,,264,212,,317,265,
tlu_rrobin_picker,4,0,1,1,,,4,0,3,0,FALSE,3,0,,7,4,,11,8,,15,12,,19,16,,23,20,
tlu_tcl,406,1,1,1,,,406,0,405,0,FALSE,405,0,,811,406,,1217,812,,1623,1218,,2029,1624,,2435,2030,
tlu_tdp,771,0,2,1,,,385,1,770,0,FALSE,384,0,,769,385,,1154,770,,1539,1155,,1924,1540,,2309,1925,
tlu,0,14,7,,,,0,0,0,13,TRUE,-1,0,,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,
spu_maaddr,154,0,1,1,,,154,0,153,0,FALSE,153,0,,307,154,,461,308,,615,462,,769,616,,923,770,
spu_maaeqb,31,0,1,1,,,31,0,30,0,FALSE,30,0,,61,31,,92,62,,123,93,,154,124,,185,155,
spu_mactl,131,0,1,1,,,131,0,130,0,FALSE,130,0,,261,131,,392,262,,523,393,,654,524,,785,655,
spu_maexp,7,0,1,1,,,7,0,6,0,FALSE,6,0,,13,7,,20,14,,27,21,,34,28,,41,35,
spu_mald,7,0,1,1,,,7,0,6,0,FALSE,6,0,,13,7,,20,14,,27,21,,34,28,,41,35,
spu_mamul,27,0,1,1,,,27,0,26,0,FALSE,26,0,,53,27,,80,54,,107,81,,134,108,,161,135,
spu_mared,37,0,1,1,,,37,0,36,0,FALSE,36,0,,73,37,,110,74,,147,111,,184,148,,221,185,
spu_mast,18,0,1,1,,,18,0,17,0,FALSE,17,0,,35,18,,53,36,,71,54,,89,72,,107,90,
spu_wen,22,0,1,1,,,22,0,21,0,FALSE,21,0,,43,22,,65,44,,87,66,,109,88,,131,110,
spu_ctl,0,9,2,,,,0,0,0,8,TRUE,-1,0,,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,
spu_lsurpt1,392,0,1,1,,,392,0,391,0,FALSE,391,0,,783,392,,1175,784,,1567,1176,,1959,1568,,2351,1960,
spu_madp,842,0,3,1,,,280,2,841,0,FALSE,279,0,,559,280,,839,560,,1119,840,,1399,1120,,1679,1400,
spu,0,6,4,,,,0,0,0,5,TRUE,-1,0,,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,
lsu_dcdp,90,0,1,1,,,90,0,89,0,FALSE,89,0,,179,90,,269,180,,359,270,,449,360,,539,450,
lsu_dcache_lfsr,5,0,1,1,,,5,0,4,0,FALSE,4,0,,9,5,,14,10,,19,15,,24,20,,29,25,
lsu_dctl,667,1,2,1,,,333,1,666,0,FALSE,332,0,,665,333,,998,666,,1331,999,,1664,1332,,1997,1665,
lsu_dctldp,719,0,2,1,,,359,1,718,0,FALSE,358,0,,717,359,,1076,718,,1435,1077,,1794,1436,,2153,1795,
lsu_excpctl,105,0,1,1,,,105,0,104,0,FALSE,104,0,,209,105,,314,210,,419,315,,524,420,,629,525,
lsu_pcx_qmon,3,0,1,1,,,3,0,2,0,FALSE,2,0,,5,3,,8,6,,11,9,,14,12,,17,15,
lsu_rrobin_picker2,6,0,1,1,,,6,0,5,0,FALSE,5,0,,11,6,,17,12,,23,18,,29,24,,35,30,
lsu_qctl1,334,9,1,1,,,334,0,333,8,FALSE,333,0,,667,334,,1001,668,,1335,1002,,1669,1336,,2003,1670,
lsu_qctl2,136,0,1,1,,,136,0,135,0,FALSE,135,0,,271,136,,407,272,,543,408,,679,544,,815,680,
lsu_qdp1,731,0,2,1,,,365,1,730,0,FALSE,364,0,,729,365,,1094,730,,1459,1095,,1824,1460,,2189,1825,
lsu_qdp2,577,0,2,1,,,288,1,576,0,FALSE,287,0,,575,288,,863,576,,1151,864,,1439,1152,,1727,1440,
lsu_stb_ctl,115,0,1,1,,,115,0,114,0,FALSE,114,0,,229,115,,344,230,,459,345,,574,460,,689,575,
lsu_stb_rwctl,91,0,1,1,,,91,0,90,0,FALSE,90,0,,181,91,,272,182,,363,273,,454,364,,545,455,
lsu_stb_rwdp,136,0,1,1,,,136,0,135,0,FALSE,135,0,,271,136,,407,272,,543,408,,679,544,,815,680,
lsu_tagdp,115,0,1,1,,,115,0,114,0,FALSE,114,0,,229,115,,344,230,,459,345,,574,460,,689,575,
lsu_tlbdp,2,0,1,1,,,2,0,1,0,FALSE,1,0,,3,2,,5,4,,7,6,,9,8,,11,10,
lsu_stb_ctldp,40,0,1,1,,,40,0,39,0,FALSE,39,0,,79,40,,119,80,,159,120,,199,160,,239,200,
lsu,0,25,10,,,,0,0,0,24,TRUE,-1,0,,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,SHIT,-1,0,
bw_r_icd,136,0,1,1,,,136,0,135,0,FALSE,135,0,,271,136,,407,272,,543,408,,679,544,,815,680,
sparc_ifu_dcl,45,0,1,1,,,45,0,44,0,FALSE,44,0,,89,45,,134,90,,179,135,,224,180,,269,225,
